shipment_id,order_id,order_date,ship_date,promised_delivery_date,actual_delivery_date,supplier_id,supplier_name,supplier_reliability_score,warehouse_id,warehouse_name,warehouse_overload_flag,product_id,category,customer_region,order_quantity,priority,shipment_status,stockout_flag,delay_days,is_delayed,delay_reason
SHP-000028,ORD-000028,2025-06-30,2025-06-30,2025-07-10,2025-07-11,SUP-018,Elbe Manufacturing,0.745,WH-002,Hamburg Distribution Center,False,PRD-0130,Electronics,DE-South,145,expedited,delivered,True,1,True,
SHP-000029,ORD-000029,2025-02-26,2025-02-28,2025-03-09,2025-03-09,SUP-023,Saxon Metals,0.93,WH-005,Frankfurt Distribution Center,False,PRD-0052,Textiles,DE-South,274,standard,delivered,True,0,False,
SHP-000030,ORD-000030,2025-05-25,2025-05-26,2025-06-09,2025-06-09,SUP-012,Bavaria Textile Group,0.813,WH-006,Leipzig Distribution Center,False,PRD-0176,Mechanical,DE-Central,222,standard,delivered,False,0,False,
SHP-000031,ORD-000031,2025-03-28,2025-03-31,2025-04-05,2025-04-15,SUP-018,Elbe Manufacturing,0.745,WH-004,Cologne Distribution Center,False,PRD-0119,Packaging,DE-East,928,standard,delivered,True,10,True,supplier_late_dispatch
SHP-000032,ORD-000032,2025-05-17,2025-05-20,2025-05-24,2025-05-24,SUP-014,Baltic Packaging,0.868,WH-004,Cologne Distribution Center,False,PRD-0058,Mechanical,DE-South,263,standard,delivered,False,0,False,
SHP-000033,ORD-000033,2025-05-15,2025-05-18,2025-05-30,2025-05-28,SUP-016,Nordic Freight Supplies,0.901,WH-005,Frankfurt Distribution Center,False,PRD-0008,Raw Materials,DE-West,250,expedited,delivered,False,-2,False,
SHP-000034,ORD-000034,2025-11-02,2025-11-02,2025-11-08,,SUP-013,Rhine Components,0.887,WH-007,Stuttgart Distribution Center,False,PRD-0099,Electronics,DE-Central,29,standard,in_transit,False,,,
SHP-000035,ORD-000035,2025-12-10,2025-12-13,2025-12-17,2025-12-17,SUP-001,Rhine Components,0.724,WH-007,Stuttgart Distribution Center,False,PRD-0065,Packaging,DE-West,1195,standard,delivered,True,0,False,
SHP-000036,ORD-000036,2025-06-10,2025-06-12,2025-06-20,2025-06-20,SUP-022,Black Forest Plastics,0.971,WH-002,Hamburg Distribution Center,False,PRD-0067,Mechanical,DE-West,75,standard,delivered,False,0,False,
SHP-000037,ORD-000037,2025-12-03,2025-12-03,2025-12-15,2025-12-18,SUP-002,Baltic Packaging,0.954,WH-006,Leipzig Distribution Center,True,PRD-0043,Electronics,DE-East,117,standard,delivered,True,3,True,warehouse_capacity_constraint
SHP-000038,ORD-000038,2025-03-17,2025-03-17,2025-03-25,2025-03-28,SUP-013,Rhine Components,0.887,WH-008,Dortmund Distribution Center,False,PRD-0092,Mechanical,DE-Central,57,standard,delivered,False,3,True,warehouse_capacity_constraint
SHP-000039,ORD-000039,2025-12-13,2025-12-16,2025-12-20,2025-12-18,SUP-018,Elbe Manufacturing,0.745,WH-003,Munich Distribution Center,False,PRD-0147,Textiles,DE-North,178,standard,delivered,False,-2,False,
SHP-000040,ORD-000040,2025-11-01,2025-11-02,2025-11-16,,SUP-024,Bavaria Textile Group,0.894,WH-005,Frankfurt Distribution Center,False,PRD-0117,Raw Materials,DE-Central,188,critical,in_transit,False,,,
SHP-000041,ORD-000041,2025-11-05,2025-11-08,2025-11-12,2025-11-10,SUP-001,Rhine Components,0.724,WH-005,Frankfurt Distribution Center,False,PRD-0013,Raw Materials,DE-East,224,standard,delivered,False,-2,False,
SHP-000042,ORD-000042,2025-03-03,2025-03-04,2025-03-12,2025-03-12,SUP-011,Saxon Metals,0.611,WH-003,Munich Distribution Center,False,PRD-0166,Raw Materials,DE-Central,430,standard,delivered,False,0,False,
SHP-000043,ORD-000043,2025-09-01,2025-09-03,2025-09-09,2025-09-09,SUP-015,Alpine Industrial Parts,0.925,WH-007,Stuttgart Distribution Center,False,PRD-0115,Raw Materials,DE-Central,327,standard,delivered,True,0,False,
SHP-000044,ORD-000044,2025-11-28,2025-11-30,2025-12-08,2025-12-08,SUP-019,Danube Tools,0.652,WH-004,Cologne Distribution Center,False,PRD-0174,Raw Materials,DE-East,99,expedited,delivered,False,0,False,
SHP-000045,ORD-000045,2025-10-10,2025-10-10,2025-10-24,2025-10-28,SUP-023,Saxon Metals,0.93,WH-005,Frankfurt Distribution Center,False,PRD-0033,Mechanical,DE-North,33,standard,delivered,False,4,True,carrier_delay
SHP-000046,ORD-000046,2025-07-21,2025-07-22,2025-07-27,2025-07-28,SUP-010,Black Forest Plastics,0.829,WH-008,Dortmund Distribution Center,False,PRD-0170,Electronics,DE-West,111,expedited,delivered,False,1,True,
SHP-000047,ORD-000047,2025-11-06,2025-11-09,2025-11-15,2025-11-16,SUP-008,Hanseatic Materials,0.604,WH-002,Hamburg Distribution Center,True,PRD-0048,Electronics,DE-Central,32,standard,delivered,False,1,True,warehouse_capacity_constraint
SHP-000048,ORD-000048,2025-12-20,2025-12-23,2025-12-27,,SUP-011,Saxon Metals,0.611,WH-006,Leipzig Distribution Center,True,PRD-0159,Mechanical,DE-South,212,expedited,in_transit,True,,,
SHP-000049,ORD-000049,2025-10-03,2025-10-03,2025-10-17,2025-10-18,SUP-016,Nordic Freight Supplies,0.901,WH-004,Cologne Distribution Center,False,PRD-0167,Textiles,DE-East,164,expedited,delivered,True,1,True,supplier_late_dispatch
SHP-000050,ORD-000050,2025-04-14,2025-04-16,2025-04-19,2025-04-25,SUP-015,Alpine Industrial Parts,0.925,WH-004,Cologne Distribution Center,False,PRD-0150,Raw Materials,DE-Central,444,expedited,delivered,False,6,True,carrier_delay
SHP-000051,ORD-000051,2025-09-07,2025-09-07,2025-09-16,2025-09-16,SUP-019,Danube Tools,0.652,WH-007,Stuttgart Distribution Center,False,PRD-0125,Electronics,DE-East,20,standard,delivered,False,0,False,
SHP-000052,ORD-000052,2025-01-11,2025-01-12,2025-01-18,2025-01-25,SUP-014,Baltic Packaging,0.868,WH-006,Leipzig Distribution Center,False,PRD-0160,Packaging,DE-East,443,standard,delivered,True,7,True,carrier_delay
SHP-000053,ORD-000053,2025-12-11,2025-12-14,2025-12-19,2025-12-24,SUP-021,Ruhr Mechanical,0.841,WH-007,Stuttgart Distribution Center,False,PRD-0100,Packaging,DE-Central,787,expedited,delivered,True,5,True,inventory_shortage
SHP-000054,ORD-000054,2025-06-05,2025-06-05,2025-06-10,2025-06-11,SUP-015,Alpine Industrial Parts,0.925,WH-008,Dortmund Distribution Center,False,PRD-0107,Mechanical,DE-Central,295,standard,delivered,False,1,True,
SHP-000055,ORD-000055,2025-09-07,2025-09-07,2025-09-13,2025-09-12,SUP-013,Rhine Components,0.887,WH-007,Stuttgart Distribution Center,False,PRD-0087,Textiles,DE-Central,184,expedited,delivered,False,-1,False,
SHP-000056,ORD-000056,2025-11-09,2025-11-12,2025-11-18,2025-11-19,SUP-008,Hanseatic Materials,0.604,WH-008,Dortmund Distribution Center,False,PRD-0113,Mechanical,DE-East,62,expedited,delivered,False,1,True,supplier_late_dispatch
SHP-000057,ORD-000057,2025-01-04,2025-01-07,2025-01-19,2025-01-24,SUP-004,Nordic Freight Supplies,0.931,WH-006,Leipzig Distribution Center,True,PRD-0040,Electronics,DE-Central,126,standard,delivered,False,5,True,warehouse_capacity_constraint
SHP-000058,ORD-000058,2025-08-15,2025-08-16,2025-08-25,2025-08-27,SUP-007,Danube Tools,0.771,WH-007,Stuttgart Distribution Center,False,PRD-0036,Textiles,DE-North,15,standard,delivered,False,2,True,quality_hold
SHP-000059,ORD-000059,2025-12-15,2025-12-16,2025-12-30,2026-01-01,SUP-016,Nordic Freight Supplies,0.901,WH-005,Frankfurt Distribution Center,False,PRD-0015,Electronics,DE-East,82,expedited,delivered,False,2,True,carrier_delay
SHP-000060,ORD-000060,2025-12-24,2025-12-26,2025-12-30,2025-12-30,SUP-014,Baltic Packaging,0.868,WH-008,Dortmund Distribution Center,True,PRD-0160,Packaging,DE-South,878,expedited,delivered,True,0,False,
SHP-000061,ORD-000061,2025-09-24,2025-09-24,2025-09-30,2025-09-30,SUP-013,Rhine Components,0.887,WH-005,Frankfurt Distribution Center,False,PRD-0024,Textiles,DE-East,335,standard,delivered,True,0,False,
SHP-000062,ORD-000062,2025-11-18,2025-11-19,2025-12-01,2025-11-29,SUP-016,Nordic Freight Supplies,0.901,WH-005,Frankfurt Distribution Center,False,PRD-0096,Raw Materials,DE-Central,83,standard,delivered,False,-2,False,
SHP-000063,ORD-000063,2025-12-08,2025-12-10,2025-12-16,2025-12-15,SUP-018,Elbe Manufacturing,0.745,WH-005,Frankfurt Distribution Center,False,PRD-0077,Raw Materials,DE-South,386,standard,delivered,False,-1,False,
SHP-000064,ORD-000064,2025-12-31,2026-01-03,2026-01-11,2026-01-13,SUP-024,Bavaria Textile Group,0.894,WH-003,Munich Distribution Center,False,PRD-0026,Textiles,DE-Central,220,standard,delivered,False,2,True,supplier_late_dispatch
SHP-000065,ORD-000065,2025-11-22,2025-11-23,2025-11-30,2025-11-29,SUP-015,Alpine Industrial Parts,0.925,WH-008,Dortmund Distribution Center,False,PRD-0150,Raw Materials,DE-East,245,standard,delivered,False,-1,False,
SHP-000066,ORD-000066,2025-12-22,2025-12-24,2025-12-28,2025-12-26,SUP-015,Alpine Industrial Parts,0.925,WH-002,Hamburg Distribution Center,False,PRD-0136,Mechanical,DE-North,252,standard,delivered,False,-2,False,
SHP-000067,ORD-000067,2025-09-25,2025-09-27,2025-10-06,2025-10-05,SUP-008,Hanseatic Materials,0.604,WH-001,Berlin Distribution Center,False,PRD-0075,Raw Materials,DE-North,210,standard,delivered,False,-1,False,
SHP-000068,ORD-000068,2025-09-08,2025-09-11,2025-09-14,2025-09-14,SUP-013,Rhine Components,0.887,WH-003,Munich Distribution Center,False,PRD-0056,Mechanical,DE-East,290,standard,delivered,False,0,False,
SHP-000069,ORD-000069,2025-06-16,2025-06-16,2025-06-27,2025-07-01,SUP-022,Black Forest Plastics,0.971,WH-003,Munich Distribution Center,False,PRD-0034,Packaging,DE-South,888,standard,delivered,False,4,True,carrier_delay
SHP-000070,ORD-000070,2025-10-15,2025-10-15,2025-10-28,2025-10-28,SUP-005,Main River Electronics,0.945,WH-005,Frankfurt Distribution Center,False,PRD-0162,Packaging,DE-Central,1195,standard,delivered,False,0,False,
SHP-000071,ORD-000071,2025-01-10,2025-01-10,2025-01-25,2025-01-25,SUP-004,Nordic Freight Supplies,0.931,WH-003,Munich Distribution Center,False,PRD-0169,Packaging,DE-East,471,standard,delivered,True,0,False,
SHP-000072,ORD-000072,2025-08-01,2025-08-01,2025-08-09,2025-08-09,SUP-001,Rhine Components,0.724,WH-003,Munich Distribution Center,True,PRD-0112,Textiles,DE-West,280,standard,delivered,True,0,False,
SHP-000073,ORD-000073,2025-12-14,2025-12-14,2025-12-22,2025-12-25,SUP-009,Ruhr Mechanical,0.965,WH-007,Stuttgart Distribution Center,True,PRD-0079,Mechanical,DE-East,324,critical,delivered,False,3,True,warehouse_capacity_constraint
SHP-000074,ORD-000074,2025-11-02,2025-11-03,2025-11-16,2025-11-17,SUP-023,Saxon Metals,0.93,WH-004,Cologne Distribution Center,False,PRD-0052,Textiles,DE-East,262,standard,delivered,False,1,True,carrier_delay
SHP-000075,ORD-000075,2025-11-30,2025-12-01,2025-12-12,2025-12-11,SUP-008,Hanseatic Materials,0.604,WH-002,Hamburg Distribution Center,True,PRD-0069,Mechanical,DE-Central,165,standard,delivered,False,-1,False,
SHP-000076,ORD-000076,2025-10-12,2025-10-14,2025-10-27,2025-10-25,SUP-002,Baltic Packaging,0.954,WH-007,Stuttgart Distribution Center,False,PRD-0138,Textiles,DE-West,10,expedited,delivered,False,-2,False,
SHP-000077,ORD-000077,2025-10-27,2025-10-29,2025-11-05,2025-11-05,SUP-015,Alpine Industrial Parts,0.925,WH-004,Cologne Distribution Center,False,PRD-0090,Electronics,DE-Central,77,standard,delivered,False,0,False,
SHP-000078,ORD-000078,2025-11-22,2025-11-25,2025-12-03,2025-12-07,SUP-008,Hanseatic Materials,0.604,WH-006,Leipzig Distribution Center,False,PRD-0054,Textiles,DE-North,241,standard,delivered,True,4,True,supplier_late_dispatch
SHP-000079,ORD-000079,2025-12-23,2025-12-25,2026-01-03,2026-01-04,SUP-004,Nordic Freight Supplies,0.931,WH-003,Munich Distribution Center,False,PRD-0003,Mechanical,DE-East,211,standard,delivered,False,1,True,
SHP-000080,ORD-000080,2025-12-30,2025-12-31,2026-01-07,2026-01-21,SUP-019,Danube Tools,0.652,WH-001,Berlin Distribution Center,False,PRD-0046,Packaging,DE-Central,234,expedited,delivered,False,14,True,quality_hold
SHP-000081,ORD-000081,2025-10-19,2025-10-20,2025-10-30,2025-10-29,SUP-011,Saxon Metals,0.611,WH-007,Stuttgart Distribution Center,False,PRD-0051,Electronics,DE-North,48,standard,delivered,False,-1,False,
SHP-000082,ORD-000082,2025-05-21,2025-05-23,2025-06-01,2025-06-01,SUP-011,Saxon Metals,0.611,WH-004,Cologne Distribution Center,False,PRD-0146,Textiles,DE-North,21,critical,delivered,False,0,False,
SHP-000083,ORD-000083,2025-08-27,2025-08-29,2025-09-03,2025-09-04,SUP-018,Elbe Manufacturing,0.745,WH-005,Frankfurt Distribution Center,True,PRD-0105,Raw Materials,DE-South,284,expedited,delivered,False,1,True,
SHP-000084,ORD-000084,2025-05-08,2025-05-10,2025-05-15,2025-05-13,SUP-018,Elbe Manufacturing,0.745,WH-001,Berlin Distribution Center,True,PRD-0147,Textiles,DE-West,178,standard,delivered,False,-2,False,
SHP-000085,ORD-000085,2025-11-14,2025-11-15,2025-11-29,2025-11-27,SUP-002,Baltic Packaging,0.954,WH-008,Dortmund Distribution Center,True,PRD-0028,Raw Materials,DE-North,68,standard,delivered,False,-2,False,
SHP-000086,ORD-000086,2025-08-10,2025-08-10,2025-08-21,2025-08-19,SUP-017,Main River Electronics,0.811,WH-001,Berlin Distribution Center,False,PRD-0114,Raw Materials,DE-Central,366,standard,delivered,False,-2,False,
SHP-000087,ORD-000087,2025-11-14,2025-11-15,2025-11-22,2025-11-23,SUP-013,Rhine Components,0.887,WH-008,Dortmund Distribution Center,False,PRD-0099,Electronics,DE-Central,11,standard,delivered,False,1,True,inventory_shortage
SHP-000088,ORD-000088,2025-11-14,2025-11-15,2025-11-20,2025-11-23,SUP-019,Danube Tools,0.652,WH-006,Leipzig Distribution Center,True,PRD-0066,Mechanical,DE-Central,134,standard,delivered,False,3,True,weather_disruption
SHP-000089,ORD-000089,2025-11-05,2025-11-05,2025-11-15,2025-11-13,SUP-001,Rhine Components,0.724,WH-005,Frankfurt Distribution Center,False,PRD-0121,Packaging,DE-Central,805,critical,delivered,False,-2,False,
SHP-000090,ORD-000090,2025-06-24,2025-06-27,2025-07-05,2025-07-05,SUP-022,Black Forest Plastics,0.971,WH-004,Cologne Distribution Center,False,PRD-0089,Electronics,DE-West,126,standard,delivered,False,0,False,
SHP-000091,ORD-000091,2025-12-21,2025-12-21,2025-12-30,2025-12-30,SUP-009,Ruhr Mechanical,0.965,WH-002,Hamburg Distribution Center,False,PRD-0042,Packaging,DE-West,486,standard,delivered,True,0,False,
SHP-000092,ORD-000092,2025-10-12,2025-10-14,2025-10-22,2025-10-20,SUP-013,Rhine Components,0.887,WH-001,Berlin Distribution Center,False,PRD-0092,Mechanical,DE-South,158,standard,delivered,False,-2,False,
SHP-000093,ORD-000093,2025-04-02,2025-04-03,2025-04-08,2025-04-08,SUP-013,Rhine Components,0.887,WH-004,Cologne Distribution Center,True,PRD-0087,Textiles,DE-West,100,expedited,delivered,False,0,False,
SHP-000094,ORD-000094,2025-12-05,2025-12-06,2025-12-20,2025-12-18,SUP-024,Bavaria Textile Group,0.894,WH-004,Cologne Distribution Center,False,PRD-0117,Raw Materials,DE-South,289,critical,delivered,False,-2,False,
SHP-000095,ORD-000095,2025-12-22,2025-12-24,2026-01-03,2026-01-03,SUP-017,Main River Electronics,0.811,WH-007,Stuttgart Distribution Center,False,PRD-0137,Mechanical,DE-South,316,standard,delivered,False,0,False,
SHP-000096,ORD-000096,2025-10-27,2025-10-29,2025-11-10,2025-11-09,SUP-002,Baltic Packaging,0.954,WH-005,Frankfurt Distribution Center,False,PRD-0014,Electronics,DE-Central,58,expedited,delivered,False,-1,False,
SHP-000097,ORD-000097,2025-04-02,2025-04-02,2025-04-14,2025-04-14,SUP-008,Hanseatic Materials,0.604,WH-008,Dortmund Distribution Center,False,PRD-0133,Mechanical,DE-Central,201,standard,delivered,True,0,False,
SHP-000098,ORD-000098,2025-07-22,2025-07-24,2025-08-06,2025-08-06,SUP-004,Nordic Freight Supplies,0.931,WH-004,Cologne Distribution Center,False,PRD-0057,Raw Materials,DE-North,237,expedited,delivered,False,0,False,
SHP-000099,ORD-000099,2025-08-27,2025-08-30,2025-09-08,2025-09-08,SUP-008,Hanseatic Materials,0.604,WH-006,Leipzig Distribution Center,False,PRD-0133,Mechanical,DE-South,182,standard,delivered,False,0,False,
SHP-000100,ORD-000100,2025-04-27,2025-04-28,2025-05-12,2025-05-12,SUP-024,Bavaria Textile Group,0.894,WH-002,Hamburg Distribution Center,False,PRD-0068,Raw Materials,DE-West,56,standard,delivered,False,0,False,
SHP-000101,ORD-000101,2025-10-24,2025-10-27,2025-11-03,2025-11-03,SUP-007,Danube Tools,0.771,WH-005,Frankfurt Distribution Center,False,PRD-0036,Textiles,DE-South,16,standard,delivered,False,0,False,
SHP-000102,ORD-000102,2025-08-25,2025-08-25,2025-09-04,2025-09-04,SUP-008,Hanseatic Materials,0.604,WH-008,Dortmund Distribution Center,False,PRD-0133,Mechanical,DE-Central,53,standard,delivered,False,0,False,
SHP-000103,ORD-000103,2025-06-23,2025-06-24,2025-07-02,2025-07-02,SUP-007,Danube Tools,0.771,WH-003,Munich Distribution Center,False,PRD-0036,Textiles,DE-North,227,standard,delivered,False,0,False,
SHP-000104,ORD-000104,2025-07-15,2025-07-16,2025-07-22,2025-07-26,SUP-014,Baltic Packaging,0.868,WH-007,Stuttgart Distribution Center,False,PRD-0085,Mechanical,DE-North,210,standard,delivered,False,4,True,carrier_delay
SHP-000105,ORD-000105,2025-01-14,2025-01-16,2025-01-22,2025-01-26,SUP-015,Alpine Industrial Parts,0.925,WH-008,Dortmund Distribution Center,False,PRD-0177,Mechanical,DE-South,45,expedited,delivered,True,4,True,supplier_late_dispatch
SHP-000106,ORD-000106,2025-02-26,2025-03-01,2025-03-04,2025-03-03,SUP-020,Hanseatic Materials,0.846,WH-003,Munich Distribution Center,False,PRD-0101,Electronics,DE-East,112,standard,delivered,False,-1,False,
SHP-000107,ORD-000107,2025-10-28,2025-10-30,2025-11-05,2025-11-05,SUP-020,Hanseatic Materials,0.846,WH-005,Frankfurt Distribution Center,True,PRD-0155,Raw Materials,DE-South,386,standard,delivered,False,0,False,
SHP-000108,ORD-000108,2025-02-16,2025-02-19,2025-02-22,2025-02-21,SUP-014,Baltic Packaging,0.868,WH-008,Dortmund Distribution Center,False,PRD-0126,Electronics,DE-Central,121,standard,delivered,False,-1,False,
SHP-000109,ORD-000109,2025-12-24,2025-12-25,2025-12-30,2025-12-30,SUP-013,Rhine Components,0.887,WH-003,Munich Distribution Center,True,PRD-0099,Electronics,DE-North,105,standard,delivered,False,0,False,
SHP-000110,ORD-000110,2025-07-08,2025-07-11,2025-07-19,2025-07-21,SUP-008,Hanseatic Materials,0.604,WH-002,Hamburg Distribution Center,False,PRD-0106,Textiles,DE-East,63,standard,delivered,False,2,True,supplier_late_dispatch
SHP-000111,ORD-000111,2025-07-23,2025-07-26,2025-07-28,2025-07-28,SUP-014,Baltic Packaging,0.868,WH-004,Cologne Distribution Center,False,PRD-0103,Raw Materials,DE-South,148,standard,delivered,False,0,False,
SHP-000112,ORD-000112,2025-03-24,2025-03-26,2025-03-31,2025-03-31,SUP-001,Rhine Components,0.724,WH-005,Frankfurt Distribution Center,False,PRD-0121,Packaging,DE-North,86,standard,delivered,False,0,False,
SHP-000113,ORD-000113,2025-04-02,2025-04-05,2025-04-15,2025-04-16,SUP-008,Hanseatic Materials,0.604,WH-006,Leipzig Distribution Center,False,PRD-0113,Mechanical,DE-North,27,expedited,delivered,False,1,True,
SHP-000114,ORD-000114,2025-11-03,2025-11-03,2025-11-15,2025-11-14,SUP-017,Main River Electronics,0.811,WH-001,Berlin Distribution Center,False,PRD-0114,Raw Materials,DE-North,415,standard,delivered,False,-1,False,
SHP-000115,ORD-000115,2025-12-07,2025-12-10,2025-12-16,2025-12-16,SUP-006,Elbe Manufacturing,0.939,WH-002,Hamburg Distribution Center,True,PRD-0050,Packaging,DE-Central,392,standard,delivered,False,0,False,
SHP-000116,ORD-000116,2025-04-20,2025-04-22,2025-05-04,2025-05-06,SUP-002,Baltic Packaging,0.954,WH-004,Cologne Distribution Center,False,PRD-0031,Electronics,DE-Central,87,standard,delivered,False,2,True,supplier_late_dispatch
SHP-000117,ORD-000117,2025-07-30,2025-08-01,2025-08-04,2025-08-04,SUP-015,Alpine Industrial Parts,0.925,WH-004,Cologne Distribution Center,False,PRD-0018,Textiles,DE-Central,316,standard,delivered,False,0,False,
