product_id,product_name,category,primary_supplier_id,unit_cost_eur,reorder_point,hazmat_flag
PRD-0058,Bearing 0058,Mechanical,SUP-014,51.9,216,False
PRD-0059,Gear 0059,Mechanical,SUP-017,274.17,99,False
PRD-0060,Safety Vest 0060,Textiles,SUP-023,117.23,263,False
PRD-0061,Controller 0061,Electronics,SUP-003,166.12,380,False
PRD-0062,Valve 0062,Mechanical,SUP-004,299.7,408,False
PRD-0063,Valve 0063,Mechanical,SUP-011,301.27,246,False
PRD-0064,Bracket 0064,Mechanical,SUP-022,89.16,234,False
PRD-0065,Label Roll 0065,Packaging,SUP-001,184.81,195,False
PRD-0066,Bracket 0066,Mechanical,SUP-019,195.45,350,False
PRD-0067,Gear 0067,Mechanical,SUP-022,200.76,149,False
PRD-0068,Rubber Seal 0068,Raw Materials,SUP-024,357.9,126,False
PRD-0069,Valve 0069,Mechanical,SUP-008,45.2,384,False
PRD-0070,Bracket 0070,Mechanical,SUP-005,363.63,52,False
PRD-0071,Controller 0071,Electronics,SUP-020,442.83,433,False
PRD-0072,Scanner 0072,Electronics,SUP-021,188.55,334,False
PRD-0073,Foam Insert 0073,Packaging,SUP-008,224.24,115,False
PRD-0074,Sensor 0074,Electronics,SUP-008,351.06,130,False
PRD-0075,Rubber Seal 0075,Raw Materials,SUP-008,25.92,102,False
PRD-0076,Strap 0076,Textiles,SUP-015,427.69,353,False
PRD-0077,Rubber Seal 0077,Raw Materials,SUP-018,374.35,268,False
PRD-0078,Cover Sheet 0078,Textiles,SUP-008,119.23,366,False
PRD-0079,Gear 0079,Mechanical,SUP-009,283.34,265,False
PRD-0080,Cable 0080,Electronics,SUP-011,108.2,203,False
PRD-0081,Steel Sheet 0081,Raw Materials,SUP-008,65.28,236,False
PRD-0082,Carton 0082,Packaging,SUP-011,188.74,317,False
PRD-0083,Cover Sheet 0083,Textiles,SUP-014,31.3,239,False
PRD-0084,Steel Sheet 0084,Raw Materials,SUP-019,386.03,234,False
PRD-0085,Valve 0085,Mechanical,SUP-014,339.93,315,False
PRD-0086,Plastic Resin 0086,Raw Materials,SUP-009,221.49,263,False
PRD-0087,Strap 0087,Textiles,SUP-013,302.15,410,False
PRD-0088,Foam Insert 0088,Packaging,SUP-020,414.08,313,False
PRD-0089,Scanner 0089,Electronics,SUP-022,267.78,53,False
PRD-0090,Scanner 0090,Electronics,SUP-015,64.09,133,False
PRD-0091,Cable 0091,Electronics,SUP-007,172.77,272,False
PRD-0092,Valve 0092,Mechanical,SUP-013,343.39,182,False
PRD-0093,Strap 0093,Textiles,SUP-016,376.29,49,False
PRD-0094,Steel Sheet 0094,Raw Materials,SUP-012,449.96,154,False
PRD-0095,Sensor 0095,Electronics,SUP-007,427.5,50,False
PRD-0096,Plastic Resin 0096,Raw Materials,SUP-016,110.01,382,False
PRD-0097,Foam Insert 0097,Packaging,SUP-012,315.81,125,False
PRD-0098,Steel Sheet 0098,Raw Materials,SUP-006,350.78,199,False
PRD-0099,Cable 0099,Electronics,SUP-013,260.59,243,False
PRD-0100,Carton 0100,Packaging,SUP-021,267.87,164,False
PRD-0101,Cable 0101,Electronics,SUP-020,383.16,101,False
PRD-0102,Steel Sheet 0102,Raw Materials,SUP-014,158.53,378,False
PRD-0103,Aluminium Rod 0103,Raw Materials,SUP-014,9.15,290,False
PRD-0104,Gear 0104,Mechanical,SUP-014,319.31,130,False
PRD-0105,Aluminium Rod 0105,Raw Materials,SUP-018,278.5,436,False
PRD-0106,Strap 0106,Textiles,SUP-008,147.41,84,False
PRD-0107,Gear 0107,Mechanical,SUP-015,112.39,331,False
PRD-0108,Rubber Seal 0108,Raw Materials,SUP-016,153.7,206,False
PRD-0109,Label Roll 0109,Packaging,SUP-011,359.73,183,False
PRD-0110,Aluminium Rod 0110,Raw Materials,SUP-017,251.66,137,False
PRD-0111,Cover Sheet 0111,Textiles,SUP-008,251.39,393,False
PRD-0112,Cover Sheet 0112,Textiles,SUP-001,203.61,87,False
PRD-0113,Bracket 0113,Mechanical,SUP-008,184.07,196,False
PRD-0114,Aluminium Rod 0114,Raw Materials,SUP-017,214.81,216,False
PRD-0115,Aluminium Rod 0115,Raw Materials,SUP-015,160.58,178,False
PRD-0116,Carton 0116,Packaging,SUP-011,325.55,101,False
PRD-0117,Plastic Resin 0117,Raw Materials,SUP-024,89.02,287,False
PRD-0118,Aluminium Rod 0118,Raw Materials,SUP-007,441.3,191,False
PRD-0119,Label Roll 0119,Packaging,SUP-018,9.82,104,False
PRD-0120,Bearing 0120,Mechanical,SUP-018,438.52,189,False
PRD-0121,Foam Insert 0121,Packaging,SUP-001,49.31,333,False
PRD-0122,Gear 0122,Mechanical,SUP-011,217.25,134,False
PRD-0123,Cable 0123,Electronics,SUP-016,423.68,98,False
PRD-0124,Scanner 0124,Electronics,SUP-019,223.06,362,False
PRD-0125,Controller 0125,Electronics,SUP-019,70.12,195,False
PRD-0126,Controller 0126,Electronics,SUP-014,56.39,350,False
PRD-0127,Plastic Resin 0127,Raw Materials,SUP-013,349.85,270,False
PRD-0128,Gear 0128,Mechanical,SUP-020,139.85,70,False
PRD-0129,Steel Sheet 0129,Raw Materials,SUP-007,426.6,360,False
PRD-0130,Controller 0130,Electronics,SUP-018,110.6,78,False
PRD-0131,Carton 0131,Packaging,SUP-023,185.9,344,False
PRD-0132,Strap 0132,Textiles,SUP-010,18.07,401,False
PRD-0133,Gear 0133,Mechanical,SUP-008,35.28,175,False
PRD-0134,Plastic Resin 0134,Raw Materials,SUP-018,193.32,155,False
PRD-0135,Bracket 0135,Mechanical,SUP-006,35.38,445,False
PRD-0136,Valve 0136,Mechanical,SUP-015,199.58,392,False
PRD-0137,Gear 0137,Mechanical,SUP-017,424.4,316,False
PRD-0138,Cover Sheet 0138,Textiles,SUP-002,39.42,261,False
PRD-0139,Valve 0139,Mechanical,SUP-008,15.05,385,False
PRD-0140,Steel Sheet 0140,Raw Materials,SUP-022,449.81,177,False
PRD-0141,Foam Insert 0141,Packaging,SUP-015,235.22,182,False
PRD-0142,Foam Insert 0142,Packaging,SUP-016,286.93,86,False
PRD-0143,Strap 0143,Textiles,SUP-011,185.83,383,False
PRD-0144,Controller 0144,Electronics,SUP-023,150.76,293,False
PRD-0145,Gear 0145,Mechanical,SUP-018,366.76,58,False
PRD-0146,Work Gloves 0146,Textiles,SUP-011,143.93,99,False
PRD-0147,Work Gloves 0147,Textiles,SUP-018,297.15,276,False
PRD-0148,Work Gloves 0148,Textiles,SUP-012,87.26,358,False
PRD-0149,Cover Sheet 0149,Textiles,SUP-007,342.84,176,False
PRD-0150,Plastic Resin 0150,Raw Materials,SUP-015,417.71,397,False
PRD-0151,Controller 0151,Electronics,SUP-010,320.42,322,False
PRD-0152,Scanner 0152,Electronics,SUP-004,45.12,276,False
PRD-0153,Controller 0153,Electronics,SUP-023,226.02,189,False
PRD-0154,Aluminium Rod 0154,Raw Materials,SUP-016,189.02,281,False
PRD-0155,Plastic Resin 0155,Raw Materials,SUP-020,174.77,300,False
PRD-0156,Carton 0156,Packaging,SUP-014,126.84,214,False
PRD-0157,Aluminium Rod 0157,Raw Materials,SUP-010,369.88,411,False
PRD-0158,Rubber Seal 0158,Raw Materials,SUP-015,389.84,315,False
PRD-0159,Gear 0159,Mechanical,SUP-011,206.81,136,False
PRD-0160,Foam Insert 0160,Packaging,SUP-014,107.79,62,False
PRD-0161,Gear 0161,Mechanical,SUP-013,318.38,237,False
PRD-0162,Foam Insert 0162,Packaging,SUP-005,434.29,297,False
PRD-0163,Aluminium Rod 0163,Raw Materials,SUP-015,391.82,91,False
PRD-0164,Work Gloves 0164,Textiles,SUP-014,326.07,375,False
PRD-0165,Carton 0165,Packaging,SUP-009,213.13,213,False
PRD-0166,Rubber Seal 0166,Raw Materials,SUP-011,293.65,385,False
PRD-0167,Strap 0167,Textiles,SUP-016,283.37,317,False
PRD-0168,Sensor 0168,Electronics,SUP-022,108.32,187,False
PRD-0169,Carton 0169,Packaging,SUP-004,197.27,429,False
PRD-0170,Scanner 0170,Electronics,SUP-010,77.78,54,False
PRD-0171,Cable 0171,Electronics,SUP-010,358.98,223,False
PRD-0172,Gear 0172,Mechanical,SUP-017,68.5,250,False
PRD-0173,Plastic Resin 0173,Raw Materials,SUP-003,79.4,352,False
PRD-0174,Plastic Resin 0174,Raw Materials,SUP-019,225.71,113,False
PRD-0175,Gear 0175,Mechanical,SUP-001,117.5,278,False
PRD-0176,Bracket 0176,Mechanical,SUP-012,36.48,340,False
PRD-0177,Gear 0177,Mechanical,SUP-015,311.72,194,False
PRD-0178,Foam Insert 0178,Packaging,SUP-004,384.51,161,False
PRD-0179,Strap 0179,Textiles,SUP-023,260.15,191,False
PRD-0180,Scanner 0180,Electronics,SUP-019,126.06,391,False
